2023-12-03 16:41:18 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:41:18 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:41:25 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:41:25 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:41:27 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:41:27 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:41:58 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:41:58 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:42:00 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:42:00 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:42:01 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:42:01 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:46:12 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:46:12 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:46:29 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:46:29 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:46:30 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:46:30 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:46:39 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:46:39 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:46:40 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:46:40 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:46:41 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:46:41 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:46:42 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:46:42 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:48:18 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:48:18 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:48:59 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:48:59 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:49:07 INFO  FileController:53 - --- RECEIVED ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:49:07 INFO  FileController:60 - --- SERVERFILE ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:49:07 INFO  MinioServiceImpl:32 - --- UPLOADING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:49:07 INFO  MinioServiceImpl:43 - --- UPLOADED --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:49:07 INFO  FileServiceImpl:30 - --- SAVING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:49:07 INFO  FileServiceImpl:35 - --- SAVED --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:49:07 INFO  MessagingServiceImpl:30 - --- SENDING --- CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:49:08 INFO  FileController:90 - --- RESPONDING WITH ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
2023-12-03 16:51:40 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:51:40 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:51:41 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:51:41 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:51:42 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:51:42 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:51:43 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:51:43 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:51:44 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:51:44 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:51:45 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:51:45 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:52:01 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:52:01 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:52:14 INFO  FileController:53 - --- RECEIVED ---: AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:14 INFO  FileController:60 - --- SERVERFILE ---: AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:14 INFO  MinioServiceImpl:32 - --- UPLOADING --- AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:14 INFO  MinioServiceImpl:43 - --- UPLOADED --- AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:14 INFO  FileServiceImpl:30 - --- SAVING --- AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:14 INFO  FileServiceImpl:35 - --- SAVED --- AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:14 INFO  MessagingServiceImpl:30 - --- SENDING --- AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:14 INFO  FileController:90 - --- RESPONDING WITH ---: AgileTestingQuadrants-DoD-DoR-dominik_englert_if21b151_PDF.pdf
2023-12-03 16:52:33 INFO  FileController:53 - --- RECEIVED ---: CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:52:33 INFO  FileController:60 - --- SERVERFILE ---: CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:52:33 INFO  MinioServiceImpl:32 - --- UPLOADING --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:52:33 INFO  MinioServiceImpl:43 - --- UPLOADED --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:52:33 INFO  FileServiceImpl:30 - --- SAVING --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:52:33 INFO  FileServiceImpl:35 - --- SAVED --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:52:33 INFO  MessagingServiceImpl:30 - --- SENDING --- CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:52:33 INFO  FileController:90 - --- RESPONDING WITH ---: CI_CD-if21b151-DominikEnglert-Brainstorming.pages
2023-12-03 16:53:06 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:53:06 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:53:11 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:53:11 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:53:11 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:53:11 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:53:26 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:53:26 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:53:31 INFO  FileController:53 - --- RECEIVED ---: ReviewMethods-if21b151.pdf
2023-12-03 16:53:31 INFO  FileController:60 - --- SERVERFILE ---: ReviewMethods-if21b151.pdf
2023-12-03 16:53:31 INFO  MinioServiceImpl:32 - --- UPLOADING --- ReviewMethods-if21b151.pdf
2023-12-03 16:53:31 INFO  MinioServiceImpl:43 - --- UPLOADED --- ReviewMethods-if21b151.pdf
2023-12-03 16:53:31 INFO  FileServiceImpl:30 - --- SAVING --- ReviewMethods-if21b151.pdf
2023-12-03 16:53:31 INFO  FileServiceImpl:35 - --- SAVED --- ReviewMethods-if21b151.pdf
2023-12-03 16:53:31 INFO  MessagingServiceImpl:30 - --- SENDING --- ReviewMethods-if21b151.pdf
2023-12-03 16:53:31 INFO  FileController:90 - --- RESPONDING WITH ---: ReviewMethods-if21b151.pdf
2023-12-03 16:53:46 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:53:46 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:54:04 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:54:04 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:54:04 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:54:04 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:54:13 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:54:13 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:54:16 INFO  FileController:53 - --- RECEIVED ---: SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:16 INFO  FileController:60 - --- SERVERFILE ---: SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:16 INFO  MinioServiceImpl:32 - --- UPLOADING --- SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:16 INFO  MinioServiceImpl:43 - --- UPLOADED --- SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:16 INFO  FileServiceImpl:30 - --- SAVING --- SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:16 INFO  FileServiceImpl:35 - --- SAVED --- SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:16 INFO  MessagingServiceImpl:30 - --- SENDING --- SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:16 INFO  FileController:90 - --- RESPONDING WITH ---: SoftwarequalityStandards-if21b151-presentation.key
2023-12-03 16:54:52 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:54:52 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:55:29 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:55:29 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:55:31 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:55:31 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:56:05 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:56:05 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:56:09 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:56:09 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:56:10 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:56:10 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:57:10 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:57:10 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:57:12 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:57:12 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:57:12 INFO  FileController:37 - --- GET ALL --- 
2023-12-03 16:57:12 INFO  FileServiceImpl:43 - --- GETTING ALL ---
2023-12-03 16:57:16 INFO  FileController:53 - --- RECEIVED ---: CI_CD-if21b151-DominikEnglert-Brainstorming-PDF.pdf
